"identification_number","mode_of_attendance_code","type_of_attendance_code","nesb_indicator","citizenship_indicator","study_area","course_level","raw_comment","train_category"
2430131009044,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","My peers. The admin.","OK"
2430131009236,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Classes where the professors were enthusiastic in teaching the course, and dedicated to helping to students to understand and apply these concepts to the industry. Some more direction for learning. Would be good to have better marking guidelines for assessments, and for examinations, to be given some/more practice questions related to the course, beyond typical course notes or tutorials.","OK"
2430131009275,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Support from other research faculty, students and staff. More students participating in the program.","OK"
2430131009288,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The friends/classmates I've met. The study spaces as it needs more quiet spaces and more spots with charging. The civil engineering building needs refurbishment.","OK"
2430131009370,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","The teachers! Amazing professors. The courses themselves, and the structure of the courses.","OK"
2430131009615,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Detecting the use of AI. A professor wrongly accused me of using ChatGPT even when I had proof.","OK"
2430131009804,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The lecturers that I had this year taught well, and also structured the course in a way that was easy to understand. Online resources were also easy to access and comprehensive, enabling remote study.My supervisors for my honours project were also extremely supportive and amazing to work with. Sometimes assessments were conducted at inappropriate hours.","OK"
2430131009807,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The people I've met and the diversity of teachers. The structure of the assessments- less essays and more engaging work.","OK"
2430131009913,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The wide variety of authors and theories we discuss. The freedom to focus on topics we are interested in. The structure of some courses are a bit convoluted.","OK"
2430131009946,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","The lecturers are always fantastic and are very passionate about their areas of study. I would say there should be more resources for theory students as we are the minority and do not use the practical spaces so it would be really useful if we had programs to understand the library system and areas were we can write and have support.","OK"
2430131010256,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Really good teaching staff interesting courses fairly challenging. Nothing at the moment seems fair and good.","OK"
2430131010722,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","The part where I get to be a doctor at the end of it. The biomed campus days.","OK"
2430131010919,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","That you are creating content that can be used outside of class. Classes could be more shorter and more succinct. Repetition occurs a lot.","OK"
2430131011042,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Attending lectures in person (this has been especially important to my study), the learning community I feel apart of in my tutorials and the friends I have made over the course of my study. Not cutting courses or general funding for the arts. This is a major problem for the ADA Faculty and the humanities in general. I have seen some of my excellent tutors be fired over the course of my degree, and their colleagues suffer that loss as a staff unit. The arts are imperative to the university, and the centre of all learning.","OK"
2430131011058,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Flexibility, interesting, varied and diverse range of courses. Clarity around course progression.","OK"
2430131011956,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The best aspects have been the field trips/lans/interactive classes where you are able to have a taste of field work. More interaction with the students in third year to give guidance on honours and career paths.","OK"
2430131012042,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The ability to talk to and work with people I know who'll be very successful in their fields down the line. Probably the social cohesion aspect! Not being in block sections like Law students made it really hard for part-time workers like me to connect with people outside of societies, which weren't the type of people I'd get along with anyway.","OK"
2430131012538,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","The opportunity to connect with an audience in an exhibition. Studio spaces, course structures, expenses, resources provided and timeframes of final year subjects (too short).","OK"
2430131013428,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","Learning practical interviewing skills for clients, as this will be most relevant to jobs in clinical psychology. I also loved Prof. [specified name removed] [specified name removed] Honours elective workshop on The Psychology of Effective Presentations, I felt it was super engaging, class discussions were insightful, and the content was very relevant to everyday life. With the Honours year, there is no feedback on how you are ranked compared to your peers during the year, such as with the coursework. This makes it difficult for me to know how well I'm going, such as if I am on track for First Class, as I don't know where I sit compared to the cohort.","OK"
2430131013869,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Meeting people and learning more about my program and how it can be applied to real life aspects and scenarios. Resources and accessibility.","OK"
2430131014530,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","Interesting electives that build on critical thinking skills and how to go about best science practice. Career development. It feels like if you don't get a first class mark during your honours year, you can't seem to go anywhere in psychology.","OK"
2430131014605,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Being able to experience placement which has allowed for a practical element of learning. The fact that placement is not paid work makes it difficult for students who are not financially secure.","OK"
2430131014628,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Learning interesting topics and meeting like minded people. Cramming too many topics into limited amount of time and lack of peer evaluation in group assessments.","OK"
2430131014965,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Learning about self care, ethical reflection, and how to be a better listener. Ensure class participation from more than a handful of students.","OK"
2430131014980,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Placement. Structure of courses (e.g. need longer lecture to cover all the content).","OK"
2430131015431,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The diversity in courses. The inconsistency between course content with different lecturers and tutors.","OK"
2430131015622,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","N/a. No practical use, little to none skills learnt for job seeking, especially the marketing major.","OK"
2430131015832,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Extracurricular bcom opportunities e.g., mentoring etc. Access to textbooks without having to pay extra on top of tuition feesInformation about majors and career opportunities of these.","OK"
2430131015985,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","The best part was honestly the whole philosophy faculty and the visual psychology team [specified name removed] [specified name removed] [specified name removed] etc). They are very understanding and accommodating as a deaf student. They teach in a way that is easy to understand and make accommodations for me that allow me to be comfortable. The fact that for the most part psychology final exams do not cover material in lectures and reference readings that we did not have. Also most of the profs (minus visual psych ones) have sucked at implementing my needs with my ELP like ensuring slides and information is up prior to lectures.","OK"
2430131015998,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","Open book assessments. Trimesters too high emphasis on class participation.","OK"
2430131016381,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Trying new things. Relevance to career, skills needed in workplace.","OK"
2430131016749,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Finding other who have similar mindsets to me and values. Also getting to be exposed to so many new lived experiences from others. The last year schedule needs improvement. The way that the classes for thesis is structured was not very helpful as many students are halfway through the thesis right now and we only just had a seminar of an intro to the thesis.","OK"
2430131016754,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The passionate course convenors and instructions that have a lot of experience and wide range of knowledge that enjoy what they're teaching. The hands on work we get to participate in labs. The types of courses we do I find are not as relevant to our end career or provide us with much knowledge. I think it would be more helpful to do more anatomy courses not just learn about how to interact with people. I find a lot of courses can be quite repetitive from previous. Also the amount of weighting and types of assessment on some courses are ridiculous. Having to do multiple quizzes each week from 3 different courses plus multiple vivas and assessed pracs is so hard to manage. And the marking from some of the courses is very harsh when criteria is very broad and not explained well.","OK"
2430131016844,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","The teaching staff. Nothing that I can think of.","OK"
2430131016899,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The best aspects of my program has been the wide selection of subjects within my degree. I have had the opportunity to study subjects related to the career I want to pursue in policy and analysis, whilst also challenging myself with the more mathematical elements and theory of economics as a whole. To improve I think there needs to be more incentive to attend classes and engage. Often class work is just going through homework questions where the solutions are released online afterwards. Beyond this, some of the subjects are way too content heavy and could be split up more evenly over the weeks.","OK"
2430131017275,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Learning environment which includes friends and good facilities. Some lecturers are not helpful, some struggle to communicate and some set unrealistic standards when a whole class cannot achieve the task in a timeframe.","OK"
2430131018994,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","The tutors that are full of passion and help inspire you and push you to your potential. Better spaces for studio classes, e.g quality of air temp inside.","OK"
2430131019021,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","BABS faculty lecturers and Biological sciences labs. CHEM1011 teaching, CHEM1021 teaching and MATH1031 teaching. The subjects are not enjoyable and difficult to learn.","OK"
2430131019140,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The internships and placements opportunity that UNSW has provided for us. None.","OK"
2430131020102,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","Clearer course outlines for some units - especially for assignment briefs and a clear guideline for a marking criteria for some units to ensure everyone is held to the same standard and there are minimal variables when marking.","OK"
2430131020178,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The teaching staff are excellent. They are incredibly passionate and eager to help students both with the course work and with external areas of interest as well. Consistency. While I have been doing the degree, there has been a lot of changes which have made things more complicated and difficult than they should be at times.","OK"
2430131022150,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The assessment have been well spaced out. The teachers need to come up with more innovative way to deliver content. No more just reading off PPT please.","OK"
2430131022178,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The mandatory subjects should be removed. And lecturers should be more engaging.","OK"
2430131022211,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The best aspects is that it is located at ADFA, which avoids many of the antisocial tendencies of most universities now a days. We desperately need more course options (at UNSW Canberra they have recently been cut back). I could barely do three courses of one major in a semester, and have decided to do all my mandatory courses this year in the hope that next year might actually have some of the courses that were advertised to me by the university when I accepted the offer.","OK"
2430131022829,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Placement opportunities. Spread of content throughout all four years. Years one and two were not specific to exercise physiology at all.","OK"
2430131022959,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","Integrated learning, lots of group activities. Scheduling and structure of the course.","OK"
2430131022991,"Internal","Full-time","English speaking background","Domestic","Teacher education","Undergraduate","Engaging lecturers. More engaging tutorials less focus on assignments.","OK"
2430131023026,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Being able to engage with people who are in the industry and giving there personal professional journey as it provides insight into what to expect once we graduate.","OK"
2430131023483,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","The campusThe coursesSome lecturers. Very repetitive ie: project charters, group charters.","OK"
2430131023562,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","The final 3rd year subjects actually feel applicable to the skills and knowledge needed for the workforce. Finding ways to bring the cohort together more.","OK"
2430131023979,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Practical class.","OK"
2430131024058,"Internal","Full-time","English speaking background","Domestic","Social work","Undergraduate","Having tutors who have experience in the field, and them being very open to students asking questions and gaining support. Some tutors could be clearer on assignments, especially in the rubric.","OK"
2430131024123,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","Learning about a wide range of research topics. More help learning how to write certain assessments, especially in first year.","OK"
2430131024172,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Decent structure and lecture recordings available. Use of online quizzes as an assessment is helpful. The assessments do tend to be fairly frequent and somewhat overwhelming and the large lectures make it hard to find people for groupwork if you do not have friends in that class.","OK"
2430131024179,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","I have enjoyed the variety of classes that I get to take. I enjoyed the opportunity for an internship, as well as learning from people who are currently working in research and social science fields.","OK"
2430131024416,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Coming across passionate tutors who know they're course materials really well and teach it in a very easy format. Eg by making hard concepts easy to understand. The excessive use of group assignment which most cases negatively affects a students mark as they have to take on extra work and have group members that are a burden.","OK"
2430131024484,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","Professors and tutors having real industry experience in Journalism. Subjects need to be more diversified, often feel repetitive.","OK"
2430131024603,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Some courses- Ability to choose electives and major. Structure of some courses.","OK"
2430131024709,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Learning new skills. Teaching and course management.","OK"
2430131024712,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The best aspects would be diving deeper into my chosen majors and having more time spent on learning about things I have interest in. The aspect that needs the most improvement would be the layout of the Moodle or chosen website courses are with. Sometimes the layout of the course is not well written with there being too much information in certain tabs.","OK"
2430131024760,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","Working with others. Teacher support.","OK"
2430131024788,"Internal","Full-time","English speaking background","Domestic","Medicine","Undergraduate","Small cohort size at the rural campuses. Rural campuses don't get enough support from the lecturers and staff that are based in Sydney.","OK"
2430131024800,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","The structure of the law program is very well set out and the emphasis on class participation results in an excellent environment to learn in. I have found the assessments and content challenging but rewarding and feel like I am learning greatly beneficial things for my future career.","OK"
2430131024969,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Getting to meet new people and experience more of uni life. Courses relating to my media degree have definitely changed the way I think about things and view life around me in a relatively positive way as well. It has been difficult starting uni post covid but since then I have developed a lot as a person, gotten much better at independent work and study and overall managing my time and life as a whole. The majority of the course was fine. I understand this course is no longer offered now and it was relatively confusing having to find out about this in my second year when I wanted to look at my classes. I think communication with the students could be better on course code changes and the discontinuation of degrees as it would have saved me lots of confusion and panic within that first year and a bit.","OK"
2430131025102,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Learning about the content, a lot of the lectures or tutors are engaging and help you learn effectively. More experience clinically and having more placements earlier in the degree instead of till third year Some courses feel irrelevant and could've been replaced with more clinical experience and understanding.","OK"
2430131025319,"Internal","Full-time","English speaking background","Domestic","Law and paralegal studies","Undergraduate","The mixture of my degree and applying to my job. Some of the lecturers need to change and also some of the content is too focused on history and not practicality.","OK"
2430131025354,"Internal","Full-time","English speaking background","Domestic","Psychology","Undergraduate","The best aspects were consistency in between courses in terms of assignments so That I can apply what I've learnt in other courses to the work I'm doing in present and future courses. The lecture recordings should be more consistent in terms of quality and mandating the lecturers to use the mic at all times even if the few attending could hear them. I also believe that the assignments should be communicated more clearer intents of the rubric with more details instead of generic criteria.","OK"
2430131025355,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Interacting with different people studying different things. Learning a lot of soft skills that I can't develop well in engineering alone. Some courses seem to be vague and have little direction in what exactly they are trying to teach. Some courses had lots of class discussions and were interactive but had little content to learn.","OK"
2430131025584,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The program covers a wide range of specialities that have given me a good understanding of what specific field I might like to go into in the workforce. It has been a challenging yet rewarding program so far. There isn't anything that comes to mind instantly, as the course is generally structured well. If anything, it can be difficult to plan out what electives to choose as UNSW has trimesters, and some courses are only offered for one out of three terms during a year.","OK"
2430131025692,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Having sufficient time to learn instead of cramming so much information.","OK"
2430131025808,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Meeting friends that I've maintained since Stage 1 and being able to meet/study together in and out of class with them throughout my studies.Some demonstrators/tutors were very nice, approachable and helpful. Some lecturers were difficult to understand as recorded lectures didn't include captions or the lecture slides didn't contain enough information.","OK"
2430131025887,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Hybrid mix of classes online and in campus helps manage lifestyle with work and study. Assessment and course outlines. More online options for classes. Less free electives when doing a single major or greater business choices for free electives such as management or banking basics courses.","OK"
2430131025889,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","Self and independent learning and learning to communicate. Consistency across studios.","OK"
2430131026067,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Meeting new people, learning in the labs and utilising proper equipments and working with cadavers. The structure of some courses need to be changed to fit one trimester (10 weeks) instead of fitting into one of two semesters (14 weeks). I would also like more feedback on my assignments as the lecturers simply marked based on the marking rubric instead of showing me how I'd actually get a higher marks or where I missed out on marks.","OK"
2430131026238,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Mates and colleagues, having collaborative activities. Group stuff. Good grades. Realistic test prep. More guidance, especially if it is a 3rd yr student doing a 4th yr subject.","OK"
2430131026698,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The course structure has been good, and having online classes allows my timetable to be more flexible. It hard to transition from online to face to face so suddenly. This has been the hardest past that I have experienced, as most classes have now become in person.","OK"
2430131032954,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","Getting to study a diverse range of different design disciplines in my one degree. Very hands on studios. Studio classes are too long, studio classes are often too similar with their brief.","OK"
2430131034414,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Industry placements are the best part, gives me exposure to the real world, teaches corporate etiquette and shapes my direction of what I want to do in the future. Most of the courses don't teach us any important hard skill. Just lots of fancy words building on common sense.","OK"
2430131034500,"Internal","Full-time","English speaking background","Domestic","Humanities, culture and social sciences","Undergraduate","Helpful lecturers and tutors for all of my classes. Proving more feedback for assignments and getting results back in a timely manner.","OK"
2430131035591,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","The best aspect about my program is the internships they provide at industry leaders allowing us to develop work related skills that are essential for the work force. The most improvement that the program requires is communicating with the students more in an informal setting such as little catch ups with different streams.","OK"
2430131035772,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The collaborative aspect of it. My courses have often required creativity, which I have enjoyed participating in with other students. The level of teaching varies quite drastically. Some tutors are amazing and genuinely care about the course and our learning, whilst others are very disengaged and barely teach.","OK"
2430131035842,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Learning more about Medical Science in general, and the content relevant to my future career path. Additionally, the content I have learnt has also been interesting to me as well, which has been another positive aspect. The course is very well structured and all the required courses are relevant to the degree, so I am unsure what should be improved.","OK"
2430131035877,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The different majors provided, very broad learning areas that are interesting. Workload isn't demanding and it's easy to catch up on content. Content can be a bit repetitive sometimes and the real life applications are lacking a bit. Across courses the content can overlap so it feels like a waste of money. Also a lot of group work in B.Com, often with international students where it is harder to communicate effectively. Less weighting on group tasks would be good.","OK"
2430131036079,"Internal","Full-time","English speaking background","Domestic","Communications","Undergraduate","Being able to connect with like minded people and expand my learning on a greater level. Being able to learn and do things ive never done before is amazing. I cant think of anything much for media, im very happy with it.","OK"
2430131036201,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","The facilities and having access to many different studio spaces for practice. I also enjoy the environment of the Paddington campus and the way it fosters a positive and welcoming attitude in both students and staff. I feel that some improvement needs to be made with accessing some spaces. e.g. it is often difficult to gain access to spaces allocated by the resource centres. (e.g. the film development labs and the 2 hour slots - this then is complicated as the space is often very full, making it difficult to produce work).","OK"
2430131036220,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","Degree needs to be more streamlined. Need more opportunities to meet people doing the same degree, as it's very hard to do so on a daily basis.","OK"
2430131036328,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","I love that many course and concepts somewhat link together. Also, I like how it practices public speaking. More enthusiastic, engaging and knowledgeable lecturers/tutors need to be brought in. Instead of implementing compulsory lectures, tackle the issue of absentees by introducing educators who are actually passionate and know what they're teaching. - Many lecturers tend to just waffle to reach the 2 hours mark.- There needs to be a better support system for studies, as PASS classes are usually held when I'm in another INFS class.- There is too much weighing on group tasks for every single course. This means my WAM tanks as a result of freeloaders in my group, which is hard to avoid since we don't know each other when we first start the course.- There is a lack of community in Information Systems. Educators do not facilitate activity in a space where students should be comfortable to speak up on forums and engage with other peers socially.- CoP needs to be removed. Participation marks are immensely subjective and tutors never really record such engagement. The implementation of these marks force students to waste tutorial time on making random statements that every student who has at least attended the lecture or read the slides already knows.Overall, I feel that there is no existing sense of community and willing/natural engagement in and outside the classroom for the Information Systems program. - For reference, Computer Science has a great forum community with students who are passionate for programming, due to enthusiastic professors. They also have many study and employability support systems.","OK"
2430131036502,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The degree has a wide range of classes you are able to choose from which allows me to explore fields I am more passionate about. Further, due to its flexibility, I am able to choose classes and courses that match with my own schedule and interests. Some aspects that need the most improvement would be the teamwork skills in the course. As most economic courses are focused on more independent work, it would be nice to see a little bit more of team assignments to build our teamwork skills.","OK"
2430131036595,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The best aspects of the degree have been the courses that I can tell have course coordinators that put in a lot of care and effort into organising and considering the cohort's mental. Being able to experience these courses is the highlight of my degree as it makes my learning as streamlined and comfortable as possible. I think having courses that all mostly use moodle instead of mixed platforms would be better as sometimes it can be difficult to track information.","OK"
2430131036682,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","When hands on learning is provided. One of the courses it was very hard to practice for exams as the exams were practical, we only had access to those labs during class time where we had to learn and very few optional labs which made it really hard to study for a exam worth 50% of the course.","OK"
2430131037014,"Internal","Full-time","English speaking background","Domestic","Computing and Information Systems","Undergraduate","Friendly staff. Meeting and connecting with other students.","OK"
2430131037030,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The best aspects are probably the students you meet along the way, since we study very similar degrees we are able to assist each other in class and have bonding moments over similar courses. I have also really appreciated certain tutors, while few, have gone above and beyond in their teaching. The aspects that need the most improvement includes the courses. A lot of the courses combine a multitude of different majors which results in a lack on in-depth exploration of any. Many courses feel like they lack a solid focus and typically only focus on theory which does not offer any real world application or even useful skills.","OK"
2430131037150,"Internal","Full-time","English speaking background","Domestic","Architecture and built environment","Undergraduate","The cohort is rather small so I have had the opportunity to form connections to most of the people within it. Classes, especially studio classes, really do promote a sense of community and group learning so I really do feel like part of a close knit community. I think that some of the classes have been challenging in that their delivery was not clear whether it be confusing assessment briefs or convoluted noodle pages. Additionally, Architecture can be very expensive when taking into account the cost of printing large A0 panels or model making. I think an improvement in those facilities: e.g. ensuring that there are more than 2 large format printers and that they don't break/don't charge us if the panels don't print.","OK"
2430131037158,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","My MATH2400 lecturer [specified name removed] [specified name removed] and being put in a situation where I have to challenge myself to grow as a person. Needs to have more interactions between lecturers and students, and they need to provide more support to their students (i.e replying to emails faster, providing help to students with assignments and exams in a non-judgmental way), making it less stressful and anxiety driven for students to pass (i.e. removing or becoming more lenient with a 40% final exam pass hurdle).","OK"
2430131037242,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Learning new skills and content. Course does not allow much flexibility with classes , many in person classes that require students to attend uni 4 days a week in person.","OK"
2430131037485,"Internal","Full-time","English speaking background","Domestic","Health services and support","Undergraduate","Lecturers from the Nutrition/ Dietetics program itself [specified name removed] and [specified name removed] are very enthusiastic and fantastic lecturers. They are succinct, easy to understand and easy to approach. Lecturers from other courses are not as easy to understand, and pacing of subjects is not great. Pacing of some subjects is very fast and hard to stay on top of. This is most likely due to the trimester structure of UNSW. Additionally, some of the subjects in the course felt like they were irrelevant in the professional field of nutrition/dietetics. Some subjects didn't feel relevant and I struggled to identify how it could develop my professional career.","OK"
2430131037883,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","The ability to integrate internships as part of my degree gives me the opportunity to apply learnings in the actual workplace, and better understand what the career entails. Some of the organisation of certain classes and internship requirements could be improved, due to a general difficulty to locate and access certain resources.","OK"
2430131038014,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","Possibly the extra-curriculars and integrated learning whilst i did my degree. The workload is too much for a 3 course term.","OK"
2430131038291,"Internal","Full-time","English speaking background","Domestic","Creative arts","Undergraduate","The best aspects of the Bachelor of Design program was definitely the social aspect. The cohort and structure of the class encouraged social engagement and allows students to easily network. The structure of classes and assessments needs to be reevaluated, the electives/ specialisations of classes are quite good and intuitive, but a lot of the general education classes are quite repetitive and need major improvement as assessment tasks and content is quite repetitive and hard to integrate into your portfolio and professional space. I also would suggest to add an internship unit, or more units with how to integrate yourself into the industry as a student.","OK"
2430131038548,"Internal","Full-time","English speaking background","Domestic","Science and mathematics","Undergraduate","The courses and electives offer a wide array of different subjects. The teachers, some can be rude and quick.","OK"
2430131038736,"Internal","Full-time","English speaking background","Domestic","Business and management","Undergraduate","Content is very interesting and practical. More organised.","OK"
2430131038796,"Internal","Full-time","English speaking background","Domestic","Engineering","Undergraduate","The people and learning community. Enrolment processes most of the engineering courses are full.","OK"
